cluster,kernel,nu,test_f1_score,test_recall,test_precision,confusion_matrix,y_test,y_test_pred
Cluster 0,linear,0.01,0.023842700108375907,0.29056603773584905,0.012431385211494995,"[[  77  188]
 [6117  807]]","100906    0
14693     0
61843     0
19012     0
45371     0
         ..
37507     0
12359     0
56198     0
71697     0
39507     0
Name: true_anomaly, Length: 7189, dtype: int64",[1 1 1 ... 1 1 1]
Cluster 0,linear,0.02,0.11002444987775062,0.16981132075471697,0.081374321880651,"[[  45  220]
 [ 508 6416]]","100906    0
14693     0
61843     0
19012     0
45371     0
         ..
37507     0
12359     0
56198     0
71697     0
39507     0
Name: true_anomaly, Length: 7189, dtype: int64",[0 0 0 ... 0 0 0]
Cluster 0,linear,0.03,0.027009646302250806,0.3169811320754717,0.014105793450881612,"[[  84  181]
 [5871 1053]]","100906    0
14693     0
61843     0
19012     0
45371     0
         ..
37507     0
12359     0
56198     0
71697     0
39507     0
Name: true_anomaly, Length: 7189, dtype: int64",[1 1 1 ... 0 1 1]
Cluster 0,linear,0.04,0.015384615384615384,0.1811320754716981,0.008033472803347281,"[[  48  217]
 [5927  997]]","100906    0
14693     0
61843     0
19012     0
45371     0
         ..
37507     0
12359     0
56198     0
71697     0
39507     0
Name: true_anomaly, Length: 7189, dtype: int64",[1 1 1 ... 0 1 1]
Cluster 0,linear,0.05,0.03524992776654146,0.46037735849056605,0.01832657353162085,"[[ 122  143]
 [6535  389]]","100906    0
14693     0
61843     0
19012     0
45371     0
         ..
37507     0
12359     0
56198     0
71697     0
39507     0
Name: true_anomaly, Length: 7189, dtype: int64",[1 1 1 ... 1 1 1]
Cluster 0,poly,0.01,0.0019305019305019308,0.0037735849056603774,0.0012970168612191958,"[[   1  264]
 [ 770 6154]]","100906    0
14693     0
61843     0
19012     0
45371     0
         ..
37507     0
12359     0
56198     0
71697     0
39507     0
Name: true_anomaly, Length: 7189, dtype: int64",[0 1 0 ... 0 0 1]
Cluster 0,poly,0.02,0.010810810810810811,0.022641509433962263,0.007100591715976331,"[[   6  259]
 [ 839 6085]]","100906    0
14693     0
61843     0
19012     0
45371     0
         ..
37507     0
12359     0
56198     0
71697     0
39507     0
Name: true_anomaly, Length: 7189, dtype: int64",[0 1 0 ... 0 0 1]
Cluster 0,poly,0.03,0.0,0.0,0.0,"[[   0  265]
 [ 433 6491]]","100906    0
14693     0
61843     0
19012     0
45371     0
         ..
37507     0
12359     0
56198     0
71697     0
39507     0
Name: true_anomaly, Length: 7189, dtype: int64",[0 1 0 ... 0 0 0]
Cluster 0,poly,0.04,0.0026402640264026403,0.007547169811320755,0.0016,"[[   2  263]
 [1248 5676]]","100906    0
14693     0
61843     0
19012     0
45371     0
         ..
37507     0
12359     0
56198     0
71697     0
39507     0
Name: true_anomaly, Length: 7189, dtype: int64",[1 1 0 ... 0 0 1]
Cluster 0,poly,0.05,0.026402640264026403,0.01509433962264151,0.10526315789473684,"[[   4  261]
 [  34 6890]]","100906    0
14693     0
61843     0
19012     0
45371     0
         ..
37507     0
12359     0
56198     0
71697     0
39507     0
Name: true_anomaly, Length: 7189, dtype: int64",[0 0 0 ... 0 0 0]
Cluster 0,rbf,0.01,0.12169312169312167,0.08679245283018867,0.20353982300884957,"[[  23  242]
 [  90 6834]]","100906    0
14693     0
61843     0
19012     0
45371     0
         ..
37507     0
12359     0
56198     0
71697     0
39507     0
Name: true_anomaly, Length: 7189, dtype: int64",[0 0 0 ... 0 0 0]
Cluster 0,rbf,0.02,0.16933638443935925,0.13962264150943396,0.21511627906976744,"[[  37  228]
 [ 135 6789]]","100906    0
14693     0
61843     0
19012     0
45371     0
         ..
37507     0
12359     0
56198     0
71697     0
39507     0
Name: true_anomaly, Length: 7189, dtype: int64",[0 0 0 ... 0 0 0]
Cluster 0,rbf,0.03,0.18072289156626506,0.16981132075471697,0.19313304721030042,"[[  45  220]
 [ 188 6736]]","100906    0
14693     0
61843     0
19012     0
45371     0
         ..
37507     0
12359     0
56198     0
71697     0
39507     0
Name: true_anomaly, Length: 7189, dtype: int64",[0 0 0 ... 0 0 0]
Cluster 0,rbf,0.04,0.19689119170984454,0.21509433962264152,0.18152866242038215,"[[  57  208]
 [ 257 6667]]","100906    0
14693     0
61843     0
19012     0
45371     0
         ..
37507     0
12359     0
56198     0
71697     0
39507     0
Name: true_anomaly, Length: 7189, dtype: int64",[0 0 0 ... 0 0 0]
Cluster 0,rbf,0.05,0.1903225806451613,0.22264150943396227,0.16619718309859155,"[[  59  206]
 [ 296 6628]]","100906    0
14693     0
61843     0
19012     0
45371     0
         ..
37507     0
12359     0
56198     0
71697     0
39507     0
Name: true_anomaly, Length: 7189, dtype: int64",[0 0 0 ... 0 0 0]
Cluster 1,linear,0.01,0.14005602240896356,0.3723404255319149,0.08624938393297191,"[[  175   295]
 [ 1854 18181]]","72858    0
78349    0
97398    0
63384    0
26476    0
        ..
30306    0
10742    0
52925    0
14305    0
69437    0
Name: true_anomaly, Length: 20505, dtype: int64",[0 0 0 ... 0 0 0]
Cluster 1,linear,0.02,0.24578575312669929,0.4808510638297872,0.16508400292184075,"[[  226   244]
 [ 1143 18892]]","72858    0
78349    0
97398    0
63384    0
26476    0
        ..
30306    0
10742    0
52925    0
14305    0
69437    0
Name: true_anomaly, Length: 20505, dtype: int64",[0 0 0 ... 0 0 0]
Cluster 1,linear,0.03,0.3126079447322971,0.3851063829787234,0.26308139534883723,"[[  181   289]
 [  507 19528]]","72858    0
78349    0
97398    0
63384    0
26476    0
        ..
30306    0
10742    0
52925    0
14305    0
69437    0
Name: true_anomaly, Length: 20505, dtype: int64",[0 0 1 ... 0 0 0]
Cluster 1,linear,0.04,0.35081374321880654,0.4127659574468085,0.3050314465408805,"[[  194   276]
 [  442 19593]]","72858    0
78349    0
97398    0
63384    0
26476    0
        ..
30306    0
10742    0
52925    0
14305    0
69437    0
Name: true_anomaly, Length: 20505, dtype: int64",[0 0 0 ... 0 0 0]
Cluster 1,linear,0.05,0.02833943639547843,0.5680851063829787,0.014532193980297176,"[[  267   203]
 [18106  1929]]","72858    0
78349    0
97398    0
63384    0
26476    0
        ..
30306    0
10742    0
52925    0
14305    0
69437    0
Name: true_anomaly, Length: 20505, dtype: int64",[1 1 0 ... 1 1 1]
Cluster 1,poly,0.01,0.0014104372355430183,0.002127659574468085,0.0010548523206751054,"[[    1   469]
 [  947 19088]]","72858    0
78349    0
97398    0
63384    0
26476    0
        ..
30306    0
10742    0
52925    0
14305    0
69437    0
Name: true_anomaly, Length: 20505, dtype: int64",[0 0 0 ... 0 0 0]
Cluster 1,poly,0.02,0.000596836765144733,0.002127659574468085,0.0003471017007983339,"[[    1   469]
 [ 2880 17155]]","72858    0
78349    0
97398    0
63384    0
26476    0
        ..
30306    0
10742    0
52925    0
14305    0
69437    0
Name: true_anomaly, Length: 20505, dtype: int64",[0 0 0 ... 0 0 0]
Cluster 1,poly,0.03,0.0005488474204171241,0.002127659574468085,0.000315059861373661,"[[    1   469]
 [ 3173 16862]]","72858    0
78349    0
97398    0
63384    0
26476    0
        ..
30306    0
10742    0
52925    0
14305    0
69437    0
Name: true_anomaly, Length: 20505, dtype: int64",[0 0 0 ... 0 0 0]
Cluster 1,poly,0.04,0.0005053057099545225,0.002127659574468085,0.00028669724770642203,"[[    1   469]
 [ 3487 16548]]","72858    0
78349    0
97398    0
63384    0
26476    0
        ..
30306    0
10742    0
52925    0
14305    0
69437    0
Name: true_anomaly, Length: 20505, dtype: int64",[0 0 0 ... 0 0 0]
Cluster 1,poly,0.05,0.00045146726862302486,0.002127659574468085,0.0002525252525252525,"[[    1   469]
 [ 3959 16076]]","72858    0
78349    0
97398    0
63384    0
26476    0
        ..
30306    0
10742    0
52925    0
14305    0
69437    0
Name: true_anomaly, Length: 20505, dtype: int64",[0 0 0 ... 0 0 0]
Cluster 1,rbf,0.01,0.29280397022332505,0.251063829787234,0.35119047619047616,"[[  118   352]
 [  218 19817]]","72858    0
78349    0
97398    0
63384    0
26476    0
        ..
30306    0
10742    0
52925    0
14305    0
69437    0
Name: true_anomaly, Length: 20505, dtype: int64",[0 0 0 ... 0 0 0]
Cluster 1,rbf,0.02,0.3562676720075401,0.4021276595744681,0.3197969543147208,"[[  189   281]
 [  402 19633]]","72858    0
78349    0
97398    0
63384    0
26476    0
        ..
30306    0
10742    0
52925    0
14305    0
69437    0
Name: true_anomaly, Length: 20505, dtype: int64",[0 0 0 ... 0 0 0]
Cluster 1,rbf,0.03,0.3232963549920761,0.4340425531914894,0.25757575757575757,"[[  204   266]
 [  588 19447]]","72858    0
78349    0
97398    0
63384    0
26476    0
        ..
30306    0
10742    0
52925    0
14305    0
69437    0
Name: true_anomaly, Length: 20505, dtype: int64",[0 0 0 ... 0 0 0]
Cluster 1,rbf,0.04,0.2948986722571628,0.44893617021276594,0.21956295525494277,"[[  211   259]
 [  750 19285]]","72858    0
78349    0
97398    0
63384    0
26476    0
        ..
30306    0
10742    0
52925    0
14305    0
69437    0
Name: true_anomaly, Length: 20505, dtype: int64",[0 0 1 ... 0 0 0]
Cluster 1,rbf,0.05,0.27515151515151515,0.4829787234042553,0.1923728813559322,"[[  227   243]
 [  953 19082]]","72858    0
78349    0
97398    0
63384    0
26476    0
        ..
30306    0
10742    0
52925    0
14305    0
69437    0
Name: true_anomaly, Length: 20505, dtype: int64",[0 0 1 ... 0 0 0]
Cluster 2,linear,0.01,0.35537190082644626,0.4673913043478261,0.2866666666666667,"[[  43   49]
 [ 107 3692]]","84424     0
49745     0
1156      0
32628     0
16983     0
         ..
68589     0
49973     0
70427     0
104183    0
80740     0
Name: true_anomaly, Length: 3891, dtype: int64",[0 1 0 ... 0 0 0]
Cluster 2,linear,0.02,0.014165077635521656,0.2826086956521739,0.0072645990500139705,"[[  26   66]
 [3553  246]]","84424     0
49745     0
1156      0
32628     0
16983     0
         ..
68589     0
49973     0
70427     0
104183    0
80740     0
Name: true_anomaly, Length: 3891, dtype: int64",[1 1 1 ... 1 1 1]
Cluster 2,linear,0.03,0.39622641509433965,0.45652173913043476,0.35,"[[  42   50]
 [  78 3721]]","84424     0
49745     0
1156      0
32628     0
16983     0
         ..
68589     0
49973     0
70427     0
104183    0
80740     0
Name: true_anomaly, Length: 3891, dtype: int64",[0 0 0 ... 0 0 0]
Cluster 2,linear,0.04,0.004639025804581039,0.08695652173913043,0.002383080131069407,"[[   8   84]
 [3349  450]]","84424     0
49745     0
1156      0
32628     0
16983     0
         ..
68589     0
49973     0
70427     0
104183    0
80740     0
Name: true_anomaly, Length: 3891, dtype: int64",[1 0 1 ... 1 1 0]
Cluster 2,linear,0.05,0.4307692307692308,0.6086956521739131,0.3333333333333333,"[[  56   36]
 [ 112 3687]]","84424     0
49745     0
1156      0
32628     0
16983     0
         ..
68589     0
49973     0
70427     0
104183    0
80740     0
Name: true_anomaly, Length: 3891, dtype: int64",[0 0 0 ... 0 0 0]
Cluster 2,poly,0.01,0.0063391442155309044,0.021739130434782608,0.0037105751391465678,"[[   2   90]
 [ 537 3262]]","84424     0
49745     0
1156      0
32628     0
16983     0
         ..
68589     0
49973     0
70427     0
104183    0
80740     0
Name: true_anomaly, Length: 3891, dtype: int64",[0 0 0 ... 0 0 0]
Cluster 2,poly,0.02,0.002185792349726776,0.010869565217391304,0.001215066828675577,"[[   1   91]
 [ 822 2977]]","84424     0
49745     0
1156      0
32628     0
16983     0
         ..
68589     0
49973     0
70427     0
104183    0
80740     0
Name: true_anomaly, Length: 3891, dtype: int64",[0 0 0 ... 0 0 0]
Cluster 2,poly,0.03,0.003968253968253968,0.010869565217391304,0.0024271844660194173,"[[   1   91]
 [ 411 3388]]","84424     0
49745     0
1156      0
32628     0
16983     0
         ..
68589     0
49973     0
70427     0
104183    0
80740     0
Name: true_anomaly, Length: 3891, dtype: int64",[0 0 0 ... 0 0 0]
Cluster 2,poly,0.04,0.021052631578947368,0.010869565217391304,0.3333333333333333,"[[   1   91]
 [   2 3797]]","84424     0
49745     0
1156      0
32628     0
16983     0
         ..
68589     0
49973     0
70427     0
104183    0
80740     0
Name: true_anomaly, Length: 3891, dtype: int64",[0 0 0 ... 0 0 0]
Cluster 2,poly,0.05,0.0008285004142502071,0.010869565217391304,0.0004306632213608958,"[[   1   91]
 [2321 1478]]","84424     0
49745     0
1156      0
32628     0
16983     0
         ..
68589     0
49973     0
70427     0
104183    0
80740     0
Name: true_anomaly, Length: 3891, dtype: int64",[0 0 0 ... 0 0 0]
Cluster 2,rbf,0.01,0.3466666666666666,0.2826086956521739,0.4482758620689655,"[[  26   66]
 [  32 3767]]","84424     0
49745     0
1156      0
32628     0
16983     0
         ..
68589     0
49973     0
70427     0
104183    0
80740     0
Name: true_anomaly, Length: 3891, dtype: int64",[0 0 0 ... 0 0 0]
Cluster 2,rbf,0.02,0.375,0.42391304347826086,0.33620689655172414,"[[  39   53]
 [  77 3722]]","84424     0
49745     0
1156      0
32628     0
16983     0
         ..
68589     0
49973     0
70427     0
104183    0
80740     0
Name: true_anomaly, Length: 3891, dtype: int64",[0 0 0 ... 0 0 0]
Cluster 2,rbf,0.03,0.3893805309734514,0.4782608695652174,0.3283582089552239,"[[  44   48]
 [  90 3709]]","84424     0
49745     0
1156      0
32628     0
16983     0
         ..
68589     0
49973     0
70427     0
104183    0
80740     0
Name: true_anomaly, Length: 3891, dtype: int64",[0 0 0 ... 0 0 0]
Cluster 2,rbf,0.04,0.32989690721649484,0.5217391304347826,0.24120603015075376,"[[  48   44]
 [ 151 3648]]","84424     0
49745     0
1156      0
32628     0
16983     0
         ..
68589     0
49973     0
70427     0
104183    0
80740     0
Name: true_anomaly, Length: 3891, dtype: int64",[0 0 0 ... 0 0 0]
Cluster 2,rbf,0.05,0.30340557275541796,0.532608695652174,0.21212121212121213,"[[  49   43]
 [ 182 3617]]","84424     0
49745     0
1156      0
32628     0
16983     0
         ..
68589     0
49973     0
70427     0
104183    0
80740     0
Name: true_anomaly, Length: 3891, dtype: int64",[0 0 0 ... 0 0 0]
